Machine_ID,Density_Overload,Abnormal_Flow_Rate,Heat_Flow,Asset_Integrity,Temperature_Differential,Volumetric_Flow_Rate,Tangential_Stress,Duct_Lengths_in_Units,Fault_in_last_Month,Avg_hours_in_Use,Pressure_Alarm,Inclination_Angle,Location_Fault_Code,Operating_Pressure_above_Normal,Vandalism_Reports,Compression_Ratio,Multiple_Connects,Water_Exposure_units,Humidity_Factor,Cathodic_Protection,Pressure_Class,District,Latitude,Longitude
2305,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,Dover,"1,31","103,78"
2306,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,Fidelio Estate,"1,35","103,82"
2307,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,Elias,"1,38","103,94"
2308,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,Lorong Halus,"1,39","103,92"
2309,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Rochor,"1,31","103,87"
2310,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Chinatown,"1,28","103,84"
2311,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Boon Lay,"1,34","103,71"
2312,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,Shunfu Estate,"1,35","103,84"
2313,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,Serangoon,"1,36","103,87"
2314,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Sin Ming,"1,36","103,83"
2315,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,Tuas,"1,29","103,63"
2316,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,Frankel Estate,"1,32","103,92"
2317,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Boon Lay,"1,34","103,71"
