Machine_ID,Density_Overload,Abnormal_Flow_Rate,Heat_Flow,Asset_Integrity,Temperature_Differential,Volumetric_Flow_Rate,Tangential_Stress,Duct_Lengths_in_Units,Fault_in_last_Month,Avg_hours_in_Use,Pressure_Alarm,Inclination_Angle,Location_Fault_Code,Operating_Pressure_above_Normal,Vandalism_Reports,Compression_Ratio,Multiple_Connects,Water_Exposure_units,Humidity_Factor,Cathodic_Protection,Pressure_Class,District,Latitude,Longitude,Scored Labels,Scored Probabilities
2305,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,Dover,"1,31","103,78",0,0.180813387
2306,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,Fidelio Estate,"1,35","103,82",0,0.140056044
2307,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,1,0,Elias,"1,38","103,94",0,0.249269992
2308,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,Lorong Halus,"1,39","103,92",0,0.152682424
2309,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Rochor,"1,31","103,87",0,0.180764928
2310,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Chinatown,"1,28","103,84",0,0.16609177
2311,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Boon Lay,"1,34","103,71",0,0.180764869
2312,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,Shunfu Estate,"1,35","103,84",0,0.166272089
2313,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,Serangoon,"1,36","103,87",0,0.180813327
2314,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Sin Ming,"1,36","103,83",0,0.166046068
2315,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,Tuas,"1,29","103,63",0,0.230370611
2316,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,Frankel Estate,"1,32","103,92",0,0.166136876
2317,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Boon Lay,"1,34","103,71",0,0.180668384
2318,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Lok Yang,"1,32","103,7",0,0.152429625
2319,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Anson Road,"1,27","103,84",0,0.180620357
2320,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Caldecott Hill,"1,34","103,83",0,0.196326211
2321,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,Aljunied,"1,32","103,88",0,0.2129343
2322,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Chin Bee,"1,34","103,72",0,0.212879628
2323,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,Buangkok,"1,38","103,89",0,0.152513981
2324,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,Cheng San,"1,37","103,89",0,0.180861041
2325,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Bedok Town Park,"1,34","103,94",0,0.139860243
2326,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,Sengkang,"1,39","103,89",0,0.212988585
2327,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,Jurong Central,"1,34","103,74",0,0.166227117
2328,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Pandan Valley,"1,32","103,78",0,0.180765331
2329,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Marine Parade,"1,3","103,9",0,0.196326211
2330,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Jurong Central,"1,34","103,74",0,0.166046619
2331,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Dhoby Ghaut,"1,3","103,85",0,0.212770432
2332,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,West Coast,"1,31","103,76",0,0.152597934
2333,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Chinatown,"1,28","103,84",0,0.16609177
2334,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Hume Estate,"1,35","103,82",0,0.166046232
2335,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Choa Chu Kang,"1,38","103,75",0,0.166181505
2336,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,Buona Vista,"1,31","103,79",0,0.181150913
2337,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,Bedok,"1,32","103,93",0,0.213098004
2338,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Lorong Halus,"1,39","103,92",0,0.152556077
2339,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Cairnhill,"1,31","103,84",0,0.152555674
2340,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Hougang,"1,36","103,89",0,0.166091487
2341,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Aljunied,"1,32","103,88",0,0.212879732
2342,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,Marina Bay,"1,28","103,85",1,0.986455321
2343,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,Chong Pang,"1,43","103,83",0,0.128133744
2344,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,Tuas South,"1,26","103,61",0,0.180620298
2345,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,Nanyang,"1,35","103,69",0,0.128061488
2346,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Buangkok,"1,38","103,89",0,0.152471855
2347,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,Esplanade,"1,29","103,86",0,0.152682573
2348,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,Kent Ridge,"1,29","103,78",0,0.152472004
