Machine_ID,Density_Overload,Abnormal_Flow_Rate,Heat_Flow,Asset_Integrity,Temperature_Differential,Volumetric_Flow_Rate,Tangential_Stress,Duct_Lengths_in_Units,Fault_in_last_Month,Avg_hours_in_Use,Pressure_Alarm,Inclination_Angle,Location_Fault_Code,Operating_Pressure_above_Normal,Vandalism_Reports,Compression_Ratio,Multiple_Connects,Water_Exposure_units,Humidity_Factor,Cathodic_Protection,Pressure_Class,District,Latitude,Longitude,Failure_NextHour
111436,7877,2,7879,783360,1062,1576,1716,1978,0,2317,1,66,220,19,4,3,785,3139,128,1,1,Rochor,"1,31","103,87",0
185081,7877,2,7879,783360,1062,1576,1716,1978,0,2317,1,66,220,19,4,3,785,3139,128,1,1,Geylang West,"1,32","103,89",0
111413,7099,1,7100,783360,844,1682,1698,1715,0,2369,0,62,208,34,3,3,722,2874,128,1,1,Hume Estate,"1,35","103,82",0
185070,7099,1,7100,783360,844,1682,1698,1715,0,2369,0,62,208,34,3,3,722,2874,128,1,1,Little India,"1,31","103,85",0
111385,7797,3,7800,783360,1029,1604,1641,1880,0,2360,0,95,235,19,11,3,836,4831,128,1,1,Jurong?esidential,"1,35","103,82",1
111412,9387,45,9431,777240,1520,1560,1692,1855,0,2267,0,60,324,31,38,4,1174,4507,127,1,1,Simpang,"1,44","103,85",0
111580,6603,1,6604,783360,674,1473,1609,1854,0,2218,2,66,203,35,1,3,637,2158,128,1,1,Buangkok,"1,38","103,89",1
184938,6603,1,6604,783360,674,1473,1609,1854,0,2218,2,66,203,35,1,3,637,2158,128,1,1,Simei,"1,34","103,95",1
185217,8343,6,8350,777240,909,1697,1683,1792,0,2509,2,141,275,17,15,4,1018,4777,127,1,1,Kallang,"1,31","103,87",0
111388,8218,14,8232,777240,1042,1678,1669,1972,0,2386,2,102,201,18,6,3,740,3961,127,1,1,St Michael's,"1,33","103,86",0
111289,6917,0,6917,783360,556,1544,1591,1887,0,2279,0,70,191,25,1,2,733,2759,128,1,0,Buangkok,"1,38","103,89",1
185219,8218,14,8232,777240,1042,1678,1669,1972,0,2386,2,102,201,18,6,3,740,3961,127,1,1,Novena,"1,32","103,84",0
111409,7336,2,7338,783360,1073,1624,1579,1724,0,2339,0,85,206,31,11,3,809,4528,128,1,1,Tuas,"1,29","103,63",1
185066,7336,2,7338,783360,1073,1624,1579,1724,0,2339,0,85,206,31,11,3,809,4528,128,1,1,Yew Tee,"1,4","103,75",1
58028,4234,0,4234,777240,362,1381,1652,615,0,1890,0,107,351,24,54,3,311,2593,127,1,1,Marina Centre,"1,28","103,85",0
185216,7797,3,7800,783360,1029,1604,1641,1880,0,2360,0,95,235,19,11,3,836,4831,128,1,1,Pasir Laba,"1,33","103,67",0
111314,7174,0,7174,783360,858,1638,1563,1977,0,2311,1,83,237,20,6,3,900,3321,128,1,1,Potong Pasir,"1,33","103,87",1
185194,7174,0,7174,783360,858,1638,1563,1977,0,2311,1,83,237,20,6,3,900,3321,128,1,1,Lavender,"1,31","103,86",1
111107,6157,1,6158,777240,746,1452,1617,1690,0,2034,0,61,164,28,0,2,548,1929,127,1,1,Bukit Chandu,"1,28","103,79",0
184952,6673,0,6673,783360,671,1566,1552,1844,0,2169,4,68,223,20,4,2,653,2425,128,1,1,Tuas Link,"1,32","103,66",1
46591,5818,3,5818,783360,186,1419,1550,1361,0,2051,0,72,203,30,3,2,230,1402,128,1,1,Shunfu Estate,"1,35","103,84",1
185134,6157,1,6158,777240,746,1452,1617,1690,0,2034,0,61,164,28,0,2,548,1929,127,1,1,Yishun,"1,43","103,84",0
46462,5325,0,5325,783360,364,1326,1548,1211,0,1991,0,41,264,27,16,2,213,1145,128,1,1,Dhoby Ghaut,"1,3","103,85",1
187826,5325,0,5325,783360,364,1326,1548,1211,0,1991,0,41,264,27,16,2,213,1145,128,1,1,Bidadari,"1,35","103,87",1
111433,7245,1,7246,783360,744,1613,1528,1988,0,2278,0,79,205,20,1,2,742,3489,128,1,1,Tuas,"1,29","103,63",1
111556,6552,0,6552,777240,1712,1627,1600,1592,0,2412,1,55,179,15,0,3,593,2024,127,1,1,Emerald Hill,"1,31","103,84",0
